3571,Fiji,Lambasa,-16.4166667,179.3833313,-9999
10028,Tuvalu,Funafuti,-8.5166667,179.2166595,-9999
10030,Tuvalu,Asau,-7.5,178.6666718,-9999
3569,Fiji,Suva,-18.1333333,178.4166718,-9999
7038,New Zealand,Gisborne,-38.6533333,178.0041656,19
3570,Fiji,Nandi,-17.8,177.4166718,2
7064,New Zealand,Wairoa,-39.0333333,177.3666687,28
7066,New Zealand,Opotiki,-38.0833333,177.2833405,10
10031,Tuvalu,Tanrake,-7.25,177.1499939,-9999
7045,New Zealand,Whakatane,-37.9833333,177,139
7031,New Zealand,Napier,-39.4833333,176.9166718,-9999
7030,New Zealand,Hastings,-39.6381,176.8491821,11
7100,New Zealand,Edgecumbe,-37.9833333,176.8333282,3
7055,New Zealand,Kawerau,-38.1,176.6999969,38
7091,New Zealand,Murupara,-38.4666667,176.6999969,182
4738,Kiribati,Rungata,-1.35,176.4333344,-9999
10032,Tuvalu,Tonga,-6.2833333,176.3166656,-9999
7029,New Zealand,Rotorua,-38.1387422,176.245163,269
7026,New Zealand,Tauranga,-37.6861111,176.1666718,1
10029,Tuvalu,Lolua,-5.6666667,176.1333313,-9999
7041,New Zealand,Taupo,-38.6833333,176.0833282,384
4735,Kiribati,Tabukiniberu,-1.3419259,175.9894714,1
7085,New Zealand,Waihi Beach,-37.4,175.9333344,175
7071,New Zealand,Turangi,-39,175.9333344,536
7073,New Zealand,Katikati,-37.55,175.9166718,3
7065,New Zealand,Whangamata,-37.2,175.8666687,23
7046,New Zealand,Tokoroa,-38.2333333,175.8666687,326
7102,New Zealand,Tairua,-37.0166667,175.8500061,10
7061,New Zealand,Waihi,-37.3833333,175.8333282,326
7072,New Zealand,Whitianga,-36.8333333,175.6999969,-9999
7067,New Zealand,Paeroa,-37.3666667,175.6666718,22
7108,New Zealand,Waiouru,-39.4833333,175.6666718,821
7043,New Zealand,Masterton,-40.9597222,175.6575012,121
7028,New Zealand,Palmerston North,-40.35,175.6166687,30
4739,Kiribati,Ijaki,-1.9166667,175.5833282,-9999
7054,New Zealand,Thames,-37.1333333,175.5333405,157
7090,New Zealand,Waipawa,-41.4122222,175.515274,124
7103,New Zealand,Coromandel,-36.7666667,175.5,50
7116,New Zealand,Ngatea,-37.2833333,175.5,3
7093,New Zealand,Bulls,-40.1666667,175.3833313,67
7059,New Zealand,Foxton,-40.4666667,175.3000031,15
7024,New Zealand,Hamilton,-37.7833333,175.2833405,28
7044,New Zealand,Levin,-40.6333333,175.2749939,24
7021,New Zealand,Manakau,-40.7166667,175.2166595,48
7079,New Zealand,Otorohanga,-38.1833333,175.1999969,45
7115,New Zealand,Te Kauwhata,-37.4,175.1499939,24
7057,New Zealand,Otaki,-40.7583333,175.1499939,28
4740,Kiribati,Buariki,-1.4833333,175.0666656,-9999
7037,New Zealand,Upper Hutt,-41.1382712,175.0502014,57
7036,New Zealand,Wanganui,-39.9333333,175.0500031,31
7042,New Zealand,Pukekohe East,-37.2,174.9499969,141
7027,New Zealand,Lower Hutt,-41.2166667,174.9166718,15
7077,New Zealand,Raglan,-37.8,174.8833313,10
7032,New Zealand,Porirua,-41.1333333,174.8500061,27
7019,New Zealand,Wellington,-41.2785362,174.7766418,51
7018,New Zealand,Auckland,-36.8666667,174.7666626,26
4734,Kiribati,Utiroa,-1.2166667,174.75,1
7022,New Zealand,North Shore,-36.8,174.75,8
7052,New Zealand,Waiuku,-37.25,174.75,51
7069,New Zealand,Warkworth,-36.4,174.6666718,58
7023,New Zealand,Waitakere,-36.85,174.5500031,66
7087,New Zealand,Wellsford,-36.2833333,174.5166626,35
7107,New Zealand,Ngunguru,-35.6166667,174.5,77
7109,New Zealand,Patea,-39.7583333,174.4833374,39
4732,Kiribati,Temaraia,-0.6666667,174.4499969,-9999
7080,New Zealand,Muriwai Beach,-36.8166667,174.4499969,70
7106,New Zealand,Parakai,-36.65,174.4333344,4
7033,New Zealand,Whangarei,-35.7316731,174.3239136,50
7081,New Zealand,Eltham,-39.4291667,174.3000031,233
7049,New Zealand,Hawera,-39.5916667,174.2833405,86
7056,New Zealand,Waitara,-38.925,174.25,-9999
7088,New Zealand,Paihia,-35.2833333,174.0833282,5
7034,New Zealand,New Plymouth,-39.0666667,174.0833282,27
7105,New Zealand,Kawakawa,-35.3833333,174.0666656,101
7098,New Zealand,Moerewa,-35.3833333,174.0333405,142
7076,New Zealand,Picton,-41.2882693,174.0101776,13
7058,New Zealand,Kerikeri,-35.2166667,173.9666595,18
7040,New Zealand,Blenheim,-41.5160328,173.9528046,6
4741,Kiribati,Binoinano,0.4166667,173.9166718,-9999
7078,New Zealand,Waimate North,-35.3166667,173.8833313,133
7060,New Zealand,Dargaville,-35.9333333,173.8833313,17
7104,New Zealand,Opunake,-39.4555556,173.8583374,43
7095,New Zealand,Taipa,-34.9833333,173.4666595,-9999
4736,Kiribati,Rawannawi,2.05,173.2666626,1
7096,New Zealand,Brightwater,-41.3833333,173.1166687,8
7092,New Zealand,Mapua,-41.25,173.1000061,-9999
7097,New Zealand,Wakefield,-41.4,173.0500031,129
4737,Kiribati,Tabiauea,0.9,173.0333405,-9999
4731,Kiribati,Taburao,1.8166667,173.0166626,1
7053,New Zealand,Motueka,-41.1333333,173.0166626,3
4729,Kiribati,Bairiki,1.3291406,172.9780121,-9999
